iter	Logloss
258	0.4964696291
259	0.4961233969
260	0.4957814983
261	0.4954148457
262	0.4951110792
263	0.4949435912
264	0.4946323741
265	0.4943972567
266	0.494087442
267	0.4937937951
268	0.4934416745
269	0.4931851386
270	0.4930419737
271	0.4927937309
272	0.4924920967
273	0.4922607188
274	0.4919382625
275	0.4917242744
276	0.4914455443
277	0.4911070083
278	0.4908099818
279	0.4905549326
280	0.4902518326
281	0.4899334294
282	0.4896246246
283	0.4892715017
284	0.48905132
285	0.4886076657
286	0.4882687378
287	0.488075124
288	0.4878407646
289	0.4875366466
290	0.4873425967
291	0.487102091
292	0.4867174381
293	0.4864757308
294	0.4862803979
295	0.4860339104
296	0.4857673868
297	0.4855150375
298	0.4852169944
299	0.4848117935
300	0.484603048
301	0.4843924213
302	0.4841321098
303	0.4838971334
304	0.483609567
305	0.4834167999
306	0.4830611104
307	0.482792399
308	0.4823506185
309	0.4821455187
310	0.4818276197
311	0.4816958883
312	0.4815293884
313	0.4812955624
314	0.4809407265
315	0.4806993028
316	0.4803524027
317	0.4800986965
318	0.4798857394
319	0.4798076446
320	0.4795186265
321	0.4792314592
322	0.4790454665
323	0.4786565173
324	0.478400053
325	0.4780970631
326	0.4778077284
327	0.4776011473
328	0.4773174457
329	0.4770530506
330	0.4767600977
331	0.476430443
332	0.4761014395
333	0.475812704
334	0.4755876853
335	0.4753252594
336	0.4751239296
337	0.4748321669
338	0.4746347431
339	0.4744073699
340	0.4742031252
341	0.4739843821
342	0.4737864535
343	0.4736258897
344	0.4733855973
345	0.4730343087
346	0.4727956803
347	0.4725421023
348	0.4723390089
349	0.4720742679
350	0.4718921442
351	0.4716102468
352	0.4712466867
353	0.4709540935
354	0.470703008
355	0.470430059
356	0.4701219597
357	0.4698868246
358	0.4696758539
359	0.4694205185
360	0.4691332985
361	0.468659864
362	0.4684462792
363	0.4683051912
364	0.4681054238
365	0.4678225503
366	0.467627096
367	0.4674935232
368	0.4672810496
369	0.4670539995
370	0.4668121338
371	0.4666534592
372	0.4664999214
373	0.4662140977
374	0.4660195389
375	0.4658241329
376	0.4654618401
377	0.4652509326
378	0.4649706366
379	0.4647440185
380	0.4645633296
381	0.4643177471
382	0.4641354795
383	0.4640498382
384	0.4637637103
385	0.4635208251
386	0.4633584477
387	0.4631471974
388	0.4628916532
389	0.4626223903
390	0.4623732407
391	0.4621832309
392	0.4619357144
393	0.4617625443
394	0.4615764572
395	0.4613387094
396	0.4611334015
397	0.4609480001
398	0.4607467542
399	0.4604916611
400	0.4600621571
401	0.4599506856
402	0.4597060107
403	0.4594854703
404	0.459126809
405	0.4589233325
406	0.4587526761
407	0.4585255101
408	0.4583878519
409	0.4581972282
410	0.4578177487
411	0.4575933835
412	0.4574202987
413	0.4571893054
414	0.4570176961
415	0.456852638
416	0.4566490194
417	0.4564121417
418	0.4562291685
419	0.4560341837
420	0.4558144751
421	0.4555862377
422	0.4553892346
423	0.4551438759
424	0.4549189655
425	0.4547376373
426	0.4545705735
427	0.4543830908
428	0.4541717488
429	0.4539141775
430	0.4536978078
431	0.4535198591
432	0.4533794742
433	0.453067221
434	0.4528215514
435	0.4526179877
436	0.4524587924
437	0.4520790836
438	0.4518506228
439	0.451727549
440	0.4516021307
441	0.4513663077
442	0.4511972583
443	0.450977379
444	0.4507707591
445	0.4506038998
446	0.4504291101
447	0.4504163884
448	0.4502334963
449	0.4499095376
450	0.4496956694
451	0.4493096942
452	0.4491313866
453	0.4488880239
454	0.4486306553
455	0.4483487303
456	0.4480394887
457	0.4477650156
458	0.4475363809
459	0.4474388129
460	0.4472681236
461	0.4470572839
462	0.4467725158
463	0.44660022
464	0.4464208552
465	0.4462803777
466	0.4461308123
467	0.4459485894
468	0.4457453953
469	0.4455252563
470	0.4453149615
471	0.4451795539
472	0.4449650596
473	0.4448167401
474	0.444635672
475	0.4443930712
476	0.4441867232
477	0.4440806413
478	0.4436945412
479	0.4435477963
480	0.4431517444
481	0.4428585273
482	0.4427240469
483	0.4423985456
484	0.4422344183
485	0.442032648
486	0.4418125564
487	0.4417122497
488	0.4415911422
489	0.4414754646
490	0.4413096056
491	0.4411710666
492	0.4409780848
493	0.4406097342
494	0.4404842031
495	0.4403065687
496	0.4400207161
497	0.4399068257
498	0.4397448014
499	0.4394991055
