pred,score,idx,gamePK,label_iforest,match
1,0.13890383994360794,0,,-1,0
1,0.13871369759035523,1,,-1,0
1,0.14000620043358852,2,,-1,0
1,0.13760617173100886,3,,-1,0
1,0.1378136221100208,4,,-1,0
1,0.13712048384831554,5,,-1,0
1,0.13642930355849442,6,,-1,0
1,0.14035546056451703,7,,-1,0
1,0.14312496610809505,8,,-1,0
1,0.12734717211237012,9,,-1,0
1,0.13139136825431347,10,,-1,0
1,0.1306614419906239,11,,-1,0
1,0.1364453212810386,12,,-1,0
1,0.12631234834412924,13,,-1,0
1,0.12840827947453232,14,,-1,0
1,0.13595569947057456,15,,-1,0
1,0.12800241057304668,16,,-1,0
1,0.12920811187686193,17,,-1,0
1,0.13570894736892486,18,,1,1
1,0.1466111658877397,19,,-1,0
1,0.14268472093199913,20,,-1,0
1,0.1287722942404752,21,,-1,0
1,0.1360806779249054,22,,-1,0
1,0.14133577175226192,23,,-1,0
1,0.1567640527161479,24,,1,1
1,0.1567640527161479,25,,1,1
1,0.15075603152239775,26,,1,1
1,0.14698927826736913,27,,-1,0
1,0.14321192701754693,28,,-1,0
1,0.14051109040051912,29,,-1,0
1,0.13167731857441817,30,,-1,0
1,0.13376061929766758,31,,-1,0
1,0.13085808147685074,32,,1,1
1,0.12449105861686571,33,,1,1
1,0.11425225735892591,34,,1,1
1,0.10877655976549305,35,,1,1
1,0.10600207892615127,36,,1,1
1,0.10066075383100992,37,,-1,0
1,0.0943459259068321,38,,1,1
1,0.05958141177261134,39,,1,1
1,0.04505447842418103,40,,1,1
1,0.04557260975219518,41,,1,1
1,0.05519893046699431,42,,1,1
1,0.05528823196837829,43,,1,1
1,0.054246797931013224,44,,1,1
1,0.07472442242148675,45,,-1,0
1,0.07312650157912332,46,,-1,0
1,0.0601758699690636,47,,-1,0
1,0.0630274902514385,48,,1,1
1,0.0607135549098019,49,,1,1
1,0.07515278876608006,50,,1,1
1,0.06908931139606106,51,,-1,0
1,0.06087054954261528,52,,-1,0
1,0.0722441367527491,53,,-1,0
1,0.09585372951638327,54,,1,1
1,0.07905811135104013,55,,1,1
1,0.074929948041208,56,,1,1
1,0.06842232659860731,57,,1,1
1,0.05566093347442452,58,,1,1
1,0.04922426046208794,59,,1,1
1,0.0441428154630763,60,,1,1
1,0.0285011064063051,61,,1,1
1,0.0405368614721926,62,,1,1
1,0.02202312681479307,63,,1,1
1,0.01801815384262151,64,,1,1
1,0.029373409771931536,65,,1,1
1,0.031570827332601914,66,,1,1
1,0.0477412306477808,67,,1,1
1,0.04998949918561707,68,,1,1
1,0.038826700121012525,69,,1,1
1,0.050219965326587845,70,,1,1
1,0.06303365309522518,71,,1,1
1,0.0761986399166481,72,,1,1
1,0.08257720587966022,73,,1,1
1,0.07223281370340118,74,,1,1
1,0.08541612010389898,75,,1,1
1,0.1092231484014573,76,,1,1
1,0.09996109976549927,77,,1,1
1,0.08738749393483192,78,,1,1
1,0.07465534029379517,79,,1,1
1,0.06436578968716239,80,,-1,0
1,0.06163122972014551,81,,-1,0
1,0.05954056724427581,82,,-1,0
1,0.04669923354923522,83,,-1,0
1,0.06162833307083704,84,,1,1
1,0.08205812651830191,85,,1,1
1,0.07967558158625926,86,,1,1
1,0.0899205390318828,87,,1,1
1,0.10020484173993616,88,,1,1
1,0.10293625460786432,89,,-1,0
1,0.10094255532726154,90,,1,1
1,0.09634173712188504,91,,1,1
1,0.10582008956756955,92,,1,1
1,0.11341625630779939,93,,1,1
