gamepk,accuracy,precision,recall,f1,match_rate
778199,0.6012658227848101,0.0,0.0,0.0,0.6012658227848101
777579,0.5875,0.42424242424242425,0.22950819672131148,0.29787234042553196,0.5875
777863,0.48299319727891155,0.14285714285714285,0.030303030303030304,0.05,0.48299319727891155
777940,0.5028571428571429,0.3,0.12,0.17142857142857143,0.5028571428571429
777571,0.5769230769230769,0.3,0.04838709677419355,0.08333333333333333,0.5769230769230769
777988,0.5421686746987951,0.2777777777777778,0.16666666666666666,0.20833333333333334,0.5421686746987951
778434,0.46808510638297873,1.0,0.10714285714285714,0.19354838709677416,0.46808510638297873
777701,0.6492537313432836,0.4074074074074074,0.2619047619047619,0.3188405797101449,0.6492537313432836
778444,0.6926829268292682,0.32142857142857145,0.16981132075471697,0.2222222222222222,0.6926829268292682
777649,0.6622516556291391,0.6571428571428571,0.3709677419354839,0.4742268041237113,0.6622516556291391
778220,0.5808383233532934,0.5,0.21428571428571427,0.3,0.5808383233532934
778406,0.656934306569343,0.48,0.2608695652173913,0.33802816901408445,0.656934306569343
778544,0.4785714285714286,0.42857142857142855,0.041666666666666664,0.0759493670886076,0.4785714285714286
777726,0.512,0.0,0.0,0.0,0.512
778285,0.5672514619883041,0.6,0.04,0.075,0.5672514619883041
778262,0.591715976331361,0.38461538461538464,0.07575757575757576,0.12658227848101267,0.591715976331361
778163,0.31543624161073824,0.45161290322580644,0.1414141414141414,0.21538461538461537,0.31543624161073824
777505,0.5755395683453237,0.46153846153846156,0.10344827586206896,0.16901408450704225,0.5755395683453237
